team1,team2,score1,score2,event,date,match_url,winner,rank1,rank2
Falcons,MOUZ,0,2,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389660/falcons-vs-mouz-iem-krakw-2026,MOUZ,3,4
SINNERS,magic,1,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,https://www.hltv.org/matches/2389561/sinners-vs-magic-cct-season-3-europe-series-14,magic,65,48
Vitality,Aurora,2,0,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389658/vitality-vs-aurora-iem-krakw-2026,Vitality,1,11
ARCRED,K27,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389730/arcred-vs-k27-exort-cataclysm-season-1,K27,60,40
ShindeN,9z,1,2,CCT Season 3 South America Series 8,Results for February 3rd 2026,https://www.hltv.org/matches/2389765/shinden-vs-9z-cct-season-3-south-america-series-8,9z,71,42
G2,Spirit,1,2,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389659/g2-vs-spirit-iem-krakw-2026,Spirit,9,5
Astralis,FURIA,1,2,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389657/astralis-vs-furia-iem-krakw-2026,FURIA,12,2
HOTU,FAVBET,0,2,CCT Season 3 Europe Series 14,Results for February 3rd 2026,https://www.hltv.org/matches/2389560/hotu-vs-favbet-cct-season-3-europe-series-14,FAVBET,35,68
K27,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389729/k27-vs-nuclear-tigeres-exort-cataclysm-season-1,K27,40,43
ARCRED,Nemiga,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389728/arcred-vs-nemiga-exort-cataclysm-season-1,Nemiga,60,55
SINNERS,GenOne,1,2,NODWIN Clutch Series 4,Results for February 3rd 2026,https://www.hltv.org/matches/2389229/sinners-vs-genone-nodwin-clutch-series-4,GenOne,65,56
MOUZ,FaZe,2,0,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389655/mouz-vs-faze-iem-krakw-2026,MOUZ,4,7
3DMAX,Falcons,0,2,IEM Kraków 2026,Results for February 3rd 2026,https://www.hltv.org/matches/2389656/3dmax-vs-falcons-iem-krakw-2026,Falcons,13,3
ECSTATIC,Oramond,2,0,CCT Season 3 Europe Series 14,Results for February 3rd 2026,https://www.hltv.org/matches/2389559/ecstatic-vs-oramond-cct-season-3-europe-series-14,ECSTATIC,50,51
WHITEBIRD,Nuclear TigeRES,1,2,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389726/whitebird-vs-nuclear-tigeres-exort-cataclysm-season-1,Nuclear TigeRES,86,43
EYEBALLERS,1win,2,1,CCT Season 3 Europe Series 14,Results for February 3rd 2026,https://www.hltv.org/matches/2389558/eyeballers-vs-1win-cct-season-3-europe-series-14,EYEBALLERS,34,77
K27,Nemesis,2,1,Exort Cataclysm Season 1,Results for February 3rd 2026,https://www.hltv.org/matches/2389727/k27-vs-nemesis-exort-cataclysm-season-1,K27,40,45
magic,ex-RUBY,0,2,European Pro League Series 4,Results for February 3rd 2026,https://www.hltv.org/matches/2389057/magic-vs-ex-ruby-european-pro-league-series-4,ex-RUBY,48,57
Nemesis,illwill,0,1,NODWIN Clutch Series 4,Results for February 3rd 2026,https://www.hltv.org/matches/2389228/nemesis-vs-illwill-nodwin-clutch-series-4,illwill,45,46
Nemiga,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389724/nemiga-vs-nuclear-tigeres-exort-cataclysm-season-1,Nemiga,55,43
FURIA,Natus Vincere,2,1,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389653/furia-vs-natus-vincere-iem-krakw-2026,FURIA,2,8
FUT,Astralis,1,2,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389654/fut-vs-astralis-iem-krakw-2026,Astralis,14,12
BET-M,Nemesis,1,2,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389725/bet-m-vs-nemesis-exort-cataclysm-season-1,Nemesis,80,45
Inner Circle,Betclic,1,2,NODWIN Clutch Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389226/inner-circle-vs-betclic-nodwin-clutch-series-4,Betclic,44,93
NRG,Falcons,1,2,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389652/nrg-vs-falcons-iem-krakw-2026,Falcons,19,3
FaZe,BC.Game,2,1,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389650/faze-vs-bcgame-iem-krakw-2026,FaZe,7,26
WHITEBIRD,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389723/whitebird-vs-rustec-exort-cataclysm-season-1,WHITEBIRD,86,98
ARCRED,K27,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389722/arcred-vs-k27-exort-cataclysm-season-1,ARCRED,60,40
Sangal,Nemiga,1,0,NODWIN Clutch Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389227/sangal-vs-nemiga-nodwin-clutch-series-4,Sangal,97,55
9INE,MOUZ NXT,2,1,NODWIN Clutch Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389225/9ine-vs-mouz-nxt-nodwin-clutch-series-4,9INE,41,69
MOUZ,Aurora,0,2,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389651/mouz-vs-aurora-iem-krakw-2026,Aurora,4,11
3DMAX,Vitality,0,2,IEM Kraków 2026,Results for February 2nd 2026,https://www.hltv.org/matches/2389649/3dmax-vs-vitality-iem-krakw-2026,Vitality,13,1
Nuclear TigeRES,Nemesis,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389721/nuclear-tigeres-vs-nemesis-exort-cataclysm-season-1,Nuclear TigeRES,43,45
1win,Johnny Speeds,2,0,CCT Season 3 Europe Series 14,Results for February 2nd 2026,https://www.hltv.org/matches/2389555/1win-vs-johnny-speeds-cct-season-3-europe-series-14,1win,77,73
K27,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389720/k27-vs-rustec-exort-cataclysm-season-1,K27,40,98
FAVBET,ex-RUBY,2,1,European Pro League Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389055/favbet-vs-ex-ruby-european-pro-league-series-4,FAVBET,68,57
Nemiga,BET-M,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389719/nemiga-vs-bet-m-exort-cataclysm-season-1,Nemiga,55,80
ARCRED,WHITEBIRD,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389718/arcred-vs-whitebird-exort-cataclysm-season-1,ARCRED,60,86
magic,Oramond,0,1,European Pro League Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389056/magic-vs-oramond-european-pro-league-series-4,Oramond,48,51
Nuclear TigeRES,UNiTY,2,0,NODWIN Clutch Series 4,Results for February 2nd 2026,https://www.hltv.org/matches/2389224/nuclear-tigeres-vs-unity-nodwin-clutch-series-4,Nuclear TigeRES,43,91
MIBR,RED Canids,2,1,FiRe CONTER Season 1,Results for February 2nd 2026,https://www.hltv.org/matches/2389697/mibr-vs-red-canids-fire-conter-season-1,MIBR,28,38
RED Canids,BESTIA,2,1,FiRe CONTER Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389696/red-canids-vs-bestia-fire-conter-season-1,RED Canids,38,37
ex-RUBY,MOUZ NXT,2,0,Exort Series 21,Results for February 1st 2026,https://www.hltv.org/matches/2389887/ex-ruby-vs-mouz-nxt-exort-series-21,ex-RUBY,57,69
PARIVISION,Astralis,1,2,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389648/parivision-vs-astralis-iem-krakw-2026,Astralis,6,12
Natus Vincere,Spirit,0,2,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389647/natus-vincere-vs-spirit-iem-krakw-2026,Spirit,8,5
The MongolZ,FURIA,1,2,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389646/the-mongolz-vs-furia-iem-krakw-2026,FURIA,10,2
ODDIK,MIBR,1,2,FiRe CONTER Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389695/oddik-vs-mibr-fire-conter-season-1,MIBR,47,28
G2,FUT,2,1,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389645/g2-vs-fut-iem-krakw-2026,G2,9,14
ex-RUBY,FORZE Reload,2,0,CCT Season 3 Europe Series 14,Results for February 1st 2026,https://www.hltv.org/matches/2389553/ex-ruby-vs-forze-reload-cct-season-3-europe-series-14,ex-RUBY,57,90
MOUZ NXT,BET-M,1,0,Exort Series 21,Results for February 1st 2026,https://www.hltv.org/matches/2389886/mouz-nxt-vs-bet-m-exort-series-21,MOUZ NXT,69,80
Nuclear TigeRES,BET-M,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389715/nuclear-tigeres-vs-bet-m-exort-cataclysm-season-1,Nuclear TigeRES,43,80
Falcons,Aurora,1,2,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389644/falcons-vs-aurora-iem-krakw-2026,Aurora,3,11
Nemesis,Nemiga,0,2,Exort Cataclysm Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389710/nemesis-vs-nemiga-exort-cataclysm-season-1,Nemiga,45,55
MOUZ,NRG,2,0,IEM Kraków 2026,Results for February 1st 2026,https://www.hltv.org/matches/2389643/mouz-vs-nrg-iem-krakw-2026,MOUZ,4,19
Sashi,Oramond,1,2,European Pro League Series 4,Results for February 1st 2026,https://www.hltv.org/matches/2389054/sashi-vs-oramond-european-pro-league-series-4,Oramond,78,51
1win,magic,1,2,European Pro League Series 4,Results for February 1st 2026,https://www.hltv.org/matches/2389053/1win-vs-magic-european-pro-league-series-4,magic,77,48
BESTIA,Marsborne,2,1,FiRe CONTER Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389693/bestia-vs-marsborne-fire-conter-season-1,BESTIA,37,53
MIBR,9z,2,0,FiRe CONTER Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389694/mibr-vs-9z-fire-conter-season-1,MIBR,28,42
WHITEBIRD,FORZE Reload,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,https://www.hltv.org/matches/2389702/whitebird-vs-forze-reload-exort-cataclysm-season-1,WHITEBIRD,86,90
Sharks,9z,1,2,FiRe CONTER Season 1,Results for January 31st 2026,https://www.hltv.org/matches/2389692/sharks-vs-9z-fire-conter-season-1,9z,39,42
