team1,team2,score1,score2,event,date,winner
WOPA,Sangal Academy,2,1,United21 League Season 36,Results for August 16th 2025,WOPA
ENCE,fnatic,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 16th 2025,fnatic
X7,ShindeN,3,13,CS Asia Championships 2025 Americas Open Qualifier,Results for August 16th 2025,ShindeN
SINNERS,Betera,0,2,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 16th 2025,Betera
MOUZ,Spirit,0,2,BLAST Bounty 2025 Season 2 Finals,Results for August 16th 2025,Spirit
9INE,CYBERSHOKE,0,2,Exort The Proving Grounds Season 3,Results for August 16th 2025,CYBERSHOKE
Chará,Dusty Roots,6,13,CS Asia Championships 2025 Americas Open Qualifier,Results for August 16th 2025,Dusty Roots
FORZE Reload,Bushido Wildcats,2,1,European Pro League Season 27,Results for August 16th 2025,FORZE Reload
BC.Game,ARCRED,2,0,Exort The Proving Grounds Season 3,Results for August 16th 2025,BC.Game
JiJieHao,ECSTATIC,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 16th 2025,ECSTATIC
Wildcard Academy,MASONIC,2,0,United21 League Season 36,Results for August 16th 2025,Wildcard Academy
Leo,Famalicão,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 16th 2025,Leo
KHAN,1win,1,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 16th 2025,KHAN
K27,Leo,1,0,European Pro League Season 27,Results for August 16th 2025,K27
Shimmer,FlyQuest RED,2,1,Dust2.us Eagle Masters Series 3,Results for August 16th 2025,Shimmer
LAG,Take Flyte,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 16th 2025,LAG
BOSS,Chicken Coop,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 16th 2025,BOSS
Marca Registrada,ASPYRE,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 16th 2025,ASPYRE
Marsborne,Arrival Seven,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 16th 2025,Marsborne
Getting Info,MONEYCREW,1,2,ESEA League Season 54 North America Elite Cup 1,Results for August 16th 2025,MONEYCREW
NRG,Wildcard,2,0,CCT Season 3 North America Series 1,Results for August 16th 2025,NRG
BOSS,Arrival Seven,1,0,Dust2.us Eagle Masters Series 3,Results for August 16th 2025,BOSS
Imperial,ODDIK,2,0,Circuito FERJEE de Esports 2025 Finals,Results for August 16th 2025,Imperial
InControl,LAG,0,2,ESEA League Season 54 North America Elite Cup 1,Results for August 16th 2025,LAG
BLUEJAYS,ASPYRE,2,0,Dust2.us Eagle Masters Series 3,Results for August 16th 2025,BLUEJAYS
Fluxo,KRÜ,2,1,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,Fluxo
2GAME,Dusty Roots,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,Dusty Roots
9z,ex-W7M,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,9z
SELVA,GameHunters,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,SELVA
BESTIA,Sharks,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,BESTIA
Galorys,ShindeN,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 16th 2025,ShindeN
HOTU,9INE,0,2,Exort The Proving Grounds Season 3,Results for August 15th 2025,9INE
ODDIK,Flamengo,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 15th 2025,Flamengo
ODDIK,Sharks,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 15th 2025,ODDIK
Bounty Hunters,StragaSonhoS,1,0,CCT Season 3 South America Series 3,Results for August 15th 2025,Bounty Hunters
Imperial,RED Canids,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 15th 2025,RED Canids
SPARTA,1win,2,1,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 15th 2025,SPARTA
33,OG,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,OG
Nexus,Alliance,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Nexus
KRÜ,Crashers,2,0,CCT Season 3 South America Series 3,Results for August 15th 2025,KRÜ
RUBY,HOTU,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,HOTU
Sashi,Partizan,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Sashi
Sangal,CYBERSHOKE,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Sangal
Betclic,BIG,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,BIG
TNL,ECSTATIC,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,ECSTATIC
The Glecs,Betera,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Betera
Spirit,Virtus.pro,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 15th 2025,Spirit
JiJieHao,Iberian Soul,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 15th 2025,Iberian Soul
ShindeN,Yawara,2,1,CCT Season 3 South America Series 3,Results for August 15th 2025,ShindeN
Vitality,Liquid,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 15th 2025,Vitality
ARCRED,Sangal,2,1,Exort The Proving Grounds Season 3,Results for August 15th 2025,ARCRED
The Huns,IHC,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 15th 2025,The Huns
BetBoom,fnatic,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,fnatic
Nemiga,Spirit Academy,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,Spirit Academy
CPH Wolves,KHAN,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 15th 2025,CPH Wolves
TBO,NomadS,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 15th 2025,NomadS
OG,JiJieHao,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,OG
500,CYBERSHOKE,0,2,Exort The Proving Grounds Season 3,Results for August 15th 2025,CYBERSHOKE
Alliance,Mousquetaires,2,0,European Pro League Season 27,Results for August 15th 2025,Alliance
Iberian Soul,FUT,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,Iberian Soul
Betera,Famalicão,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 15th 2025,Betera
Spirit Academy,JiJieHao,2,1,Exort The Proving Grounds Season 3,Results for August 15th 2025,Spirit Academy
Eternal Fire,WOPA,1,2,European Pro League Season 27,Results for August 15th 2025,WOPA
SINNERS,Leo,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 15th 2025,SINNERS
Passion UA,Ninjas in Pyjamas,0,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 15th 2025,Ninjas in Pyjamas
Legacy Kingdom,ASPYRE,1,2,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,ASPYRE
NRG,LAG,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,NRG
MIGHT,Take Flyte,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,Take Flyte
InControl,Marca Registrada,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,InControl
Arrival Seven,Wanted Goons,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,Arrival Seven
BLUEJAYS,BOSS,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,BLUEJAYS
Chicken Coop,Mythic,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,Chicken Coop
M80,Marsborne,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 15th 2025,M80
M80,Wildcard,0,2,CCT Season 3 North America Series 1,Results for August 15th 2025,Wildcard
Yawara,R2,0,2,CCT Season 3 South America Series 3,Results for August 15th 2025,R2
BLUEJAYS,NRG,0,2,CCT Season 3 North America Series 1,Results for August 15th 2025,NRG
Bounty Hunters,Dusty Roots,1,2,CCT Season 3 South America Series 3,Results for August 14th 2025,Dusty Roots
Sharks,RED Canids,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Sharks
PARIVISION,Iberian Soul,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,PARIVISION
Johnny Speeds,BIG,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,Johnny Speeds
Betclic,Tricked,2,1,Exort The Proving Grounds Season 3,Results for August 14th 2025,Betclic
BC.Game,Betera,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,BC.Game
Zero Tenacity,Partizan,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,Zero Tenacity
BetBoom,HOTU,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,BetBoom
9INE,OG,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,9INE
Nemiga,Alliance,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,Nemiga
CYBERSHOKE,ENCE,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 14th 2025,ENCE
The MongolZ,Aurora,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 14th 2025,The MongolZ
Imperial Valkyries,Eternal Fire,0,2,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 14th 2025,Eternal Fire
ex-W7M,KRÜ,2,1,CCT Season 3 South America Series 3,Results for August 14th 2025,ex-W7M
ODDIK,Imperial,0,2,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Imperial
ENCE,SINNERS,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 14th 2025,ENCE
FUT,Spirit Academy,2,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 14th 2025,FUT
ECLOT,Metizport,0,2,Exort The Proving Grounds Season 3,Results for August 14th 2025,Metizport
VP.Prodigy,K27,2,0,ESEA League Season 54 Europe Elite Cup 1,Results for August 14th 2025,VP.Prodigy
Eruption,IHC,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 14th 2025,IHC
MOUZ,Astralis,2,0,BLAST Bounty 2025 Season 2 Finals,Results for August 14th 2025,MOUZ
RUBY,Reason,0,2,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 14th 2025,Reason
Kaleido,NomadS,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 14th 2025,NomadS
Lynn Vision,The Huns,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 14th 2025,Lynn Vision
SKYFURY,UNiTY,0,2,ESEA League Season 54 Europe Elite Cup 1,Results for August 14th 2025,UNiTY
TBO,Rare Atom,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 14th 2025,Rare Atom
ECSTATIC,JiJieHao,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 14th 2025,JiJieHao
NIP Impact,HEROIC Academy,0,2,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 14th 2025,HEROIC Academy
500,SINNERS,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 14th 2025,SINNERS
BC.Game,Partizan,0,2,Exort The Proving Grounds Season 3,Results for August 14th 2025,Partizan
Prestige,Leo,0,2,European Pro League Season 27,Results for August 14th 2025,Leo
TNL,OG,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 14th 2025,OG
The Glecs,Rhyno,2,1,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 14th 2025,The Glecs
Nemiga,Iberian Soul,0,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 14th 2025,Iberian Soul
Nexus,GUN5,2,0,Exort The Proving Grounds Season 3,Results for August 14th 2025,Nexus
BIG Academy,Bushido Wildcats,0,2,European Pro League Season 27,Results for August 14th 2025,Bushido Wildcats
ENCE,Betclic,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 14th 2025,ENCE
Chicken Coop,Shimmer,2,1,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Chicken Coop
LAG,Marca Registrada,2,0,Dust2.us Eagle Masters Series 3,Results for August 14th 2025,LAG
FlyQuest RED,ASPYRE,1,2,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,ASPYRE
Akimbo,Take Flyte,1,2,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Take Flyte
Mythic,Getting Info,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Mythic
MIGHT,Aether,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,MIGHT
Ghost,Legacy Kingdom,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Legacy Kingdom
Wanted Goons,anything else,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Wanted Goons
Party Astronauts,Arrival Seven,0,1,ESL Challenger League Season 50 North America Cup 1,Results for August 14th 2025,Arrival Seven
Wildcard,TSG,2,0,Dust2.us Eagle Masters Series 3,Results for August 14th 2025,Wildcard
Keyd Stars,GameHunters,1,2,ESL Challenger League Season 50 South America Cup 1,Results for August 14th 2025,GameHunters
Getting Info,BLUEJAYS,0,1,CCT Season 3 North America Series 1,Results for August 14th 2025,BLUEJAYS
Imperial,RED Canids,2,1,Circuito FERJEE de Esports 2025 Finals,Results for August 14th 2025,Imperial
M80,Marsborne,2,0,CCT Season 3 North America Series 1,Results for August 14th 2025,M80
Yawara,SELVA,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 14th 2025,SELVA
Flamengo,Bounty Hunters,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 14th 2025,Flamengo
Crashers,ShindeN,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 14th 2025,ShindeN
MAGICOS,KRÜ,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 14th 2025,KRÜ
JERSA,StragaSonhoS,0,2,CCT Season 3 South America Series 3,Results for August 14th 2025,StragaSonhoS
LP,ODDIK,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,ODDIK
JERSA,Fluxo,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Fluxo
ex-Elevate,Galorys,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Galorys
ENCE,PARIVISION,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,PARIVISION
GameHunters,ShindeN,0,2,CCT Season 3 South America Series 3,Results for August 13th 2025,ShindeN
HOTU,SINNERS,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 13th 2025,SINNERS
Nexus,QMISTRY,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,Nexus
BIG,9INE,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,9INE
CYBERSHOKE,ECLOT,2,1,Exort The Proving Grounds Season 3,Results for August 13th 2025,CYBERSHOKE
Spirit Academy,JiJieHao,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,JiJieHao
SAW,The Glecs,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,The Glecs
Eternal Fire,HEROIC Academy,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 13th 2025,Eternal Fire
Betclic,Passion UA,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,Betclic
Tricked,RUBY,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,RUBY
Sashi,GUN5,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,Sashi
Insilio,Sangal,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,Sangal
Sharks,ODDIK,0,2,Circuito FERJEE de Esports 2025 Finals,Results for August 13th 2025,ODDIK
ENCE,Partizan,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 13th 2025,ENCE
33,9 Pandas,1,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 13th 2025,33
Keyd Stars,Crashers,0,2,CCT Season 3 South America Series 3,Results for August 13th 2025,Crashers
fnatic,PARIVISION,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,PARIVISION
Ninjas in Pyjamas,9INE,1,2,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,9INE
NIP Impact,Imperial Valkyries,1,2,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 13th 2025,Imperial Valkyries
Sangal,Metizport,2,0,Exort The Proving Grounds Season 3,Results for August 13th 2025,Sangal
Passion UA,500,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 13th 2025,500
NomadS,BORING PLAYERS,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 13th 2025,NomadS
L4S,IHC,1,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 13th 2025,IHC
EYEBALLERS,Leo,2,1,European Pro League Season 27,Results for August 13th 2025,EYEBALLERS
Kaleido,Chinggis Warriors,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 13th 2025,Kaleido
Eruption,FengDa,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 13th 2025,Eruption
Nexus,JiJieHao,0,2,Exort The Proving Grounds Season 3,Results for August 13th 2025,JiJieHao
ENCE,BetBoom,2,1,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,ENCE
Reason,Rhyno,2,0,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 13th 2025,Reason
BIG,Passion UA,2,0,StarLadder StarSeries Fall 2025 Europe Closed Qualifier,Results for August 13th 2025,BIG
Mindfreak,DOG,2,0,ESL Challenger League Season 50 Oceania Cup 1,Results for August 13th 2025,Mindfreak
8Sins,Prestige,1,2,European Pro League Season 27,Results for August 13th 2025,Prestige
RUBY,The Glecs,2,1,CCT Season 3 Europe Series 5 Closed Qualifier,Results for August 13th 2025,RUBY
Ground Zero,Rooster,0,2,ESL Challenger League Season 50 Oceania Cup 1,Results for August 13th 2025,Rooster
GUN5,9INE,0,2,Exort The Proving Grounds Season 3,Results for August 13th 2025,9INE
Betclic,Reason,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 13th 2025,Betclic
Arrival Seven,LAG,1,2,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,LAG
Getting Info,Marca Registrada,1,2,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,Marca Registrada
Marsborne,Take Flyte,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,Marsborne
BOSS,Legacy Kingdom,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,BOSS
M80,Aether,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,M80
Shimmer,InControl,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,InControl
Wildcard,Chicken Coop,2,0,CCT Season 3 North America Series 1,Results for August 13th 2025,Wildcard
ODDIK,ex-W7M,1,2,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,ex-W7M
BLUEJAYS,ASPYRE,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,BLUEJAYS
NRG,anything else,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 13th 2025,NRG
Bounty Hunters,SELVA,1,2,CCT Season 3 South America Series 3,Results for August 13th 2025,SELVA
Imperial,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Imperial
RED Canids,Galorys,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,RED Canids
Fluxo,Dusty Roots,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Dusty Roots
Sharks,GameHunters,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 13th 2025,Sharks
NRG,BOSS,2,0,CCT Season 3 North America Series 1,Results for August 13th 2025,NRG
FURIA fe,MIBR fe,0,2,Lótus Challenge 2025,Results for August 13th 2025,MIBR fe
Flamengo,KRÜ,2,1,CCT Season 3 South America Series 3,Results for August 12th 2025,Flamengo
2GAME,KRÜ,1,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,2GAME
9z,Bounty Hunters,1,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,9z
BESTIA,SELVA,1,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,BESTIA
500,Betclic,1,2,Exort The Proving Grounds Season 3,Results for August 12th 2025,Betclic
RUBY,OG,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,OG
9INE,Tricked,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,9INE
QMISTRY,ENCE,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,ENCE
BIG,The Glecs,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,BIG
HOTU,ARCRED,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,HOTU
Iberian Soul,GUN5,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,Iberian Soul
Johnny Speeds,SAW,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,Johnny Speeds
Nexus,CYBERSHOKE,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,CYBERSHOKE
Keyd Stars,Dusty Roots,1,2,CCT Season 3 South America Series 3,Results for August 12th 2025,Dusty Roots
Sashi,PARIVISION,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 12th 2025,PARIVISION
ARCRED,Partizan,1,2,Exort The Proving Grounds Season 3,Results for August 12th 2025,Partizan
Betclic,FAVBET,2,0,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,Betclic
GameHunters,Yawara,1,2,CCT Season 3 South America Series 3,Results for August 12th 2025,Yawara
BORING PLAYERS,Just Swing,2,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,BORING PLAYERS
Chinggis Warriors,The Huns,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,The Huns
FengDa,MAXXPOWER,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,FengDa
Victores Sumus,IHC,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,IHC
Rare Atom,Eruption,2,0,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,Rare Atom
NomadS,Lynn Vision,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,Lynn Vision
GenOne,Bushido Wildcats,2,1,European Pro League Season 27,Results for August 12th 2025,GenOne
L4S,TBO,0,2,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,TBO
Alliance,SINNERS,1,2,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,SINNERS
UNiTY,MOUZ NXT,2,1,ESEA League Season 54 Europe Elite Cup 1,Results for August 12th 2025,UNiTY
Spirit Academy,BC.Game,0,2,Exort The Proving Grounds Season 3,Results for August 12th 2025,BC.Game
TYLOO,Kaleido,0,1,ESL Challenger League Season 50 Asia-Pacific Cup 1,Results for August 12th 2025,Kaleido
ex-TALON,Rooster,2,1,ESL Challenger League Season 50 Oceania Cup 1,Results for August 12th 2025,ex-TALON
Passion UA,CPH Wolves,2,1,Thunderpick World Championship 2025 European Series 2,Results for August 12th 2025,Passion UA
Volt,BIG Academy,1,2,European Pro League Season 27,Results for August 12th 2025,BIG Academy
DanCompany,DOG,0,2,ESL Challenger League Season 50 Oceania Cup 1,Results for August 12th 2025,DOG
SemperFi,Mindfreak,2,0,ESL Challenger League Season 50 Oceania Cup 1,Results for August 12th 2025,SemperFi
HOTU,Tricked,1,2,Exort The Proving Grounds Season 3,Results for August 12th 2025,Tricked
FLAT EARTH,Ground Zero,0,1,ESL Challenger League Season 50 Oceania Cup 1,Results for August 12th 2025,Ground Zero
Aether,Wanted Goons,2,1,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,Aether
ASPYRE,Chicken Coop,2,1,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,ASPYRE
Legacy Kingdom,Mythic,2,1,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,Legacy Kingdom
anything else,MIGHT,2,0,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,anything else
FlyQuest RED,InControl,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,InControl
Ghost,Marca Registrada,0,2,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,Marca Registrada
LAG,Akimbo,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,LAG
Take Flyte,Party Astronauts,1,0,ESL Challenger League Season 50 North America Cup 1,Results for August 12th 2025,Take Flyte
Flamengo,Galorys,1,2,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,Galorys
StragaSonhoS,R2,1,2,CCT Season 3 South America Series 3,Results for August 12th 2025,R2
BOSS,Marca Registrada,2,0,CCT Season 3 North America Series 1,Results for August 12th 2025,BOSS
Yawara,KRÜ,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,KRÜ
ex-W7M,Crashers,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,ex-W7M
Keyd Stars,Dusty Roots,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,Dusty Roots
JERSA,GameHunters,0,2,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,GameHunters
SELVA,MAGICOS,2,0,ESL Challenger League Season 50 South America Cup 1,Results for August 12th 2025,SELVA
Chicken Coop,Legacy Kingdom,2,1,CCT Season 3 North America Series 1,Results for August 12th 2025,Chicken Coop
ex-W7M,ShindeN,2,1,CCT Season 3 South America Series 3,Results for August 11th 2025,ex-W7M
Alliance,Sangal,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Alliance
ex-Elevate,Bounty Hunters,0,1,ESL Challenger League Season 50 South America Cup 1,Results for August 11th 2025,Bounty Hunters
ShindeN,LP,1,0,ESL Challenger League Season 50 South America Cup 1,Results for August 11th 2025,ShindeN
Betera,Passion UA,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Betera
BetBoom,33,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,BetBoom
Betclic,BC.Game,1,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,BC.Game
JiJieHao,Partizan,0,2,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Partizan
Nemiga,Insilio,2,0,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Nemiga
Zero Tenacity,Spirit Academy,2,1,ESL Challenger League Season 50 Europe Cup 1,Results for August 11th 2025,Zero Tenacity
HOTU,Metizport,2,0,Exort The Proving Grounds Season 3,Results for August 11th 2025,HOTU
CYBERSHOKE,500,0,2,Thunderpick World Championship 2025 European Series 2,Results for August 11th 2025,500
Crashers,Bad Luck,2,0,CCT Season 3 South America Series 3,Results for August 11th 2025,Crashers
GamerLegion,BIG,2,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,GamerLegion
K27,Wildcard Academy,2,0,ESEA League Season 54 Europe Elite Cup 1,Results for August 11th 2025,K27
HEROIC,Passion UA,2,1,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,HEROIC
Ninjas in Pyjamas,FUT,1,2,CS Asia Championships 2025 Europe Open Qualifier,Results for August 11th 2025,FUT
