team1,team2,score1,score2,event,date,winner
MOUZ NXT,AY4S,1,0,IEM Atlanta 2026 Open Qualifier,Results for February 8th 2026,MOUZ NXT
9z,Sharks,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,9z
Ninjas in Pyjamas,GamerLegion,2,1,RES Showdown 3: BLAST Premier Rising Event,Results for February 8th 2026,Ninjas in Pyjamas
Procyon,FOLHA AMARELA,0,2,CCT Season 3 South America Series 8,Results for February 8th 2026,FOLHA AMARELA
FAVBET,Nexus,2,1,CCT Season 3 Europe Series 15,Results for February 8th 2026,FAVBET
Lynn Vision,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 8th 2026,TYLOO
Spirit,MOUZ,2,0,IEM Kraków 2026,Results for February 8th 2026,Spirit
Acend,kONO,2,0,CCT Season 3 Europe Series 15,Results for February 8th 2026,Acend
THUNDER dOWNUNDER,Rooster,2,0,DFRAG Open Series 3,Results for February 8th 2026,THUNDER dOWNUNDER
Mindfreak,Rooster,1,2,DFRAG Open Series 3,Results for February 8th 2026,Rooster
Sakura,LAG,0,2,CCT Season 3 North America Series 3,Results for February 8th 2026,LAG
Marsborne,Zomblers,2,1,CCT Season 3 North America Series 3,Results for February 8th 2026,Marsborne
M80,Passion UA,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 8th 2026,Passion UA
OverKnight,Aether,0,2,Dust2.us Eagle Masters Series 6,Results for February 8th 2026,Aether
RED Canids,Sharks,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,Sharks
NRG,Voca,2,1,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,NRG
Vitality,MOUZ,2,0,IEM Kraków 2026,Results for February 7th 2026,Vitality
Aurora Young Blud,los kogutos,1,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,los kogutos
ShindeN,GameHunters,2,0,CCT Season 3 South America Series 8,Results for February 7th 2026,ShindeN
Imperial,9z,1,2,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,9z
Spirit,FURIA,1,2,IEM Kraków 2026,Results for February 7th 2026,FURIA
WHITEBIRD,Rebels,2,1,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,WHITEBIRD
FURIA fe,Bad Luck,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,Bad Luck
los kogutos,MASONIC,1,2,A1 Gaming League Season 11,Results for February 7th 2026,MASONIC
Acend,CSDIILIT,1,0,A1 Gaming League Season 11,Results for February 7th 2026,Acend
GamerLegion,BC.Game,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 7th 2026,GamerLegion
Curralzinho,BESTIA Academy,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,BESTIA Academy
Rare Atom,TYLOO,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,TYLOO
MASONIC,VP.Prodigy,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,VP.Prodigy
STATE,AaB,0,2,A1 Gaming League Season 11,Results for February 7th 2026,AaB
M1X KS,Ninjas in Pyjamas,1,2,RES Showdown 3: BLAST Premier Rising Event,Results for February 7th 2026,Ninjas in Pyjamas
Morningstar,Lynn Vision,0,2,Yuqilin Pinnacle of Battle Season 2 - BLAST Premier Rising Event,Results for February 7th 2026,Lynn Vision
Omega,Nexus,0,2,CCT Season 3 Europe Series 15 Closed Qualifier,Results for February 7th 2026,Nexus
Underground,Rooster,1,2,DFRAG Open Series 3,Results for February 7th 2026,Rooster
THUNDER dOWNUNDER,Mindfreak,2,0,DFRAG Open Series 3,Results for February 7th 2026,THUNDER dOWNUNDER
Sakura,Blitzkrieg,0,2,Dust2.us Eagle Masters Series 6,Results for February 7th 2026,Blitzkrieg
Outfit 49,Zomblers,0,2,CCT Season 3 North America Series 3,Results for February 7th 2026,Zomblers
InControl,Chicken Coop,0,2,Dust2.us Eagle Masters Series 6,Results for February 7th 2026,Chicken Coop
FlyQuest RED,Reign Above,0,2,Dust2.us Eagle Masters Series 6,Results for February 7th 2026,Reign Above
Mindfreak,Rooster,2,0,DFRAG Open Series 3,Results for February 7th 2026,Mindfreak
THUNDER dOWNUNDER,Underground,2,0,DFRAG Open Series 3,Results for February 7th 2026,THUNDER dOWNUNDER
M80,Wildcard,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,M80
Crashers,Prison Breakers,1,0,CCT Season 3 South America Series 8,Results for February 7th 2026,Crashers
SportsBetExpert,Zomblers,1,2,Dust2.us Eagle Masters Series 6,Results for February 7th 2026,Zomblers
Sharks,Galorys,2,0,Ace SA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,Sharks
Passion UA,BOSS,2,0,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 7th 2026,Passion UA
Fake do Biru,9z,0,2,CCT Season 3 South America Series 8,Results for February 7th 2026,9z
regain,mouse,2,0,CCT Season 3 North America Series 3,Results for February 7th 2026,regain
Marsborne,Voca,1,2,Ace NA Masters 2026 Season 1 - BLAST Premier Rising Event,Results for February 6th 2026,Voca
LP,FOLHA AMARELA,2,1,Liga Gamers Club 2026 Serie A January Cup,Results for February 6th 2026,LP
BC.Game,Alliance,2,0,RES Showdown 3: BLAST Premier Rising Event,Results for February 6th 2026,BC.Game
