team1,team2,score1,score2,event,date,winner,rank1,rank2
Imperial,M80,2,1,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,Imperial,23,24
Aurora,Astralis,1,2,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,Astralis,11,12
BC.Game,MOUZ NXT,0,1,European Pro League Series 3,Results for December 1st 2025,MOUZ NXT,26,69
PARIVISION,Ninjas in Pyjamas,2,0,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,PARIVISION,6,21
FORZE Reload,ARCRED,2,0,CCT Season 3 Europe Series 12 Closed Qualifier,Results for December 1st 2025,FORZE Reload,90,60
fnatic,Passion UA,0,2,StarLadder Budapest Major 2025 Stage 2,Results for December 1st 2025,Passion UA,33,17
Natus Vincere,B8,2,0,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,Natus Vincere,8,16
MIBR,Liquid,0,2,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,Liquid,28,15
FaZe,Ninjas in Pyjamas,2,0,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,FaZe,7,21
FlyQuest,Astralis,0,2,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,Astralis,29,12
FUT,Monte,1,2,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,Monte,14,31
PARIVISION,Aurora,13,11,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,PARIVISION,6,11
fnatic,Imperial,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,Imperial,33,23
M80,TYLOO,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,M80,24,30
Passion UA,3DMAX,3,13,StarLadder Budapest Major 2025 Stage 2,Results for November 30th 2025,3DMAX,17,13
Monte,OG,2,1,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,Monte,31,52
FUT,Inner Circle,2,1,DreamHack Knockout Stockholm 2025,Results for November 30th 2025,FUT,14,44
1win,FORZE Reload,1,2,Exort Series 19,Results for November 30th 2025,FORZE Reload,77,90
fnatic,B8,11,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,B8,33,16
PARIVISION,Liquid,13,3,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,PARIVISION,6,15
Sashi,Inner Circle,1,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,Inner Circle,78,44
Aurora,FaZe,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,FaZe,11,7
Passion UA,MIBR,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Passion UA,17,28
GenOne,Monte,0,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,Monte,56,31
M80,Astralis,13,11,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,M80,24,12
Natus Vincere,Imperial,13,10,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Natus Vincere,8,23
FUT,EYEBALLERS,2,0,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,FUT,14,34
FlyQuest,3DMAX,7,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,3DMAX,29,13
Ninjas in Pyjamas,TYLOO,13,8,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Ninjas in Pyjamas,21,30
ECSTATIC,EYEBALLERS,1,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,EYEBALLERS,50,34
MIBR,Imperial,5,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Imperial,28,23
Liquid,B8,7,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,B8,15,16
9INE,GenOne,0,2,DreamHack Knockout Stockholm 2025,Results for November 29th 2025,GenOne,41,56
Natus Vincere,FlyQuest,13,2,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Natus Vincere,8,29
Aurora,M80,13,6,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Aurora,11,24
Passion UA,FaZe,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,FaZe,17,7
PARIVISION,TYLOO,5,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,TYLOO,6,30
3DMAX,fnatic,6,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,fnatic,13,33
Astralis,Ninjas in Pyjamas,10,13,StarLadder Budapest Major 2025 Stage 2,Results for November 29th 2025,Ninjas in Pyjamas,12,21
Betclic,ARCRED,0,1,CCT Season 3 Europe Series 12 Closed Qualifier,Results for November 28th 2025,ARCRED,93,60
SINNERS,UNiTY,2,0,Tipsport MČR 2025,Results for November 28th 2025,SINNERS,65,91
PARIVISION,Legacy,2,1,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,PARIVISION,6,25
NRG,Imperial,0,2,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,Imperial,19,23
Fluxo,FaZe,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 27th 2025,FaZe,66,7
PARIVISION,GamerLegion,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,PARIVISION,6,20
Imperial,The Huns,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,Imperial,23,67
RED Canids,FaZe,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,FaZe,38,7
NRG,fnatic,1,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,fnatic,19,33
K27,CYBERSHOKE,2,1,X2ONE Masters Season 1,Results for November 26th 2025,K27,40,58
B8,Legacy,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,B8,16,25
Fluxo,Ninjas in Pyjamas,0,2,StarLadder Budapest Major 2025 Stage 1,Results for November 26th 2025,Ninjas in Pyjamas,66,21
Sangal,CYBERSHOKE,1,2,X2ONE Masters Season 1,Results for November 26th 2025,CYBERSHOKE,97,58
Oramond,FORZE Reload,2,0,European Pro League Series 3,Results for November 26th 2025,Oramond,51,90
The Huns,Lynn Vision,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,The Huns,67,36
M80,NRG,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,M80,24,19
Sangal,Nemiga,2,0,X2ONE Masters Season 1,Results for November 25th 2025,Sangal,97,55
GamerLegion,Rare Atom,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,GamerLegion,20,72
FlyQuest,Fluxo,2,0,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,FlyQuest,29,66
FaZe,Ninjas in Pyjamas,8,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,Ninjas in Pyjamas,7,21
fnatic,Imperial,13,3,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,fnatic,33,23
B8,PARIVISION,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,B8,16,6
Legacy,RED Canids,13,6,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,Legacy,25,38
FaZe,NRG,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,NRG,7,19
fnatic,Fluxo,9,13,StarLadder Budapest Major 2025 Stage 1,Results for November 25th 2025,Fluxo,33,66
Ninjas in Pyjamas,Lynn Vision,13,2,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,Ninjas in Pyjamas,21,36
K27,Nemiga,2,0,X2ONE Masters Season 1,Results for November 24th 2025,K27,40,55
PARIVISION,M80,9,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,M80,6,24
GamerLegion,RED Canids,6,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,RED Canids,20,38
B8,The Huns,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,B8,16,67
Imperial,FlyQuest,6,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,FlyQuest,23,29
Legacy,Rare Atom,13,6,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,Legacy,25,72
fnatic,RED Canids,16,14,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,fnatic,33,38
FaZe,Lynn Vision,13,5,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,FaZe,7,36
GamerLegion,Fluxo,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,Fluxo,20,66
Ninjas in Pyjamas,NRG,7,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,NRG,21,19
PARIVISION,The Huns,13,8,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,PARIVISION,6,67
Legacy,FlyQuest,10,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,FlyQuest,25,29
B8,M80,11,13,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,M80,16,24
Imperial,Rare Atom,13,11,StarLadder Budapest Major 2025 Stage 1,Results for November 24th 2025,Imperial,23,72
EYEBALLERS,BetBoom,2,1,CCT Season 3 Europe Series 11,Results for November 23rd 2025,EYEBALLERS,34,32
ECSTATIC,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 23rd 2025,FUT,50,14
1win,FAVBET,0,2,JB Pro League Season 1,Results for November 23rd 2025,FAVBET,77,68
Passion UA,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 23rd 2025,FUT,17,14
Oramond,FAVBET,1,2,JB Pro League Season 1,Results for November 23rd 2025,FAVBET,51,68
BetBoom,HEROIC,2,0,CCT Season 3 Europe Series 11,Results for November 23rd 2025,BetBoom,32,22
ENCE,FUT,0,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,FUT,70,14
HEROIC,Nuclear TigeRES,2,0,CCT Season 3 Europe Series 11,Results for November 22nd 2025,HEROIC,22,43
ECSTATIC,Passion UA,2,0,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,ECSTATIC,50,17
Tricked,FUT,1,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,FUT,59,14
BetBoom,Oramond,2,0,CCT Season 3 Europe Series 11,Results for November 22nd 2025,BetBoom,32,51
Alliance,1win,1,2,JB Pro League Season 1,Results for November 22nd 2025,1win,76,77
FUT,Inner Circle,2,1,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,FUT,14,44
illwill,ENCE,0,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,ENCE,46,70
Tricked,ECSTATIC,0,2,Digital Crusade DraculaN Season 3,Results for November 22nd 2025,ECSTATIC,59,50
Nemiga,Oramond,1,2,JB Pro League Season 1,Results for November 22nd 2025,Oramond,55,51
Inner Circle,GenOne,2,0,Digital Crusade DraculaN Season 3,Results for November 21st 2025,Inner Circle,44,56
FUT,Friendly Campers,2,0,Digital Crusade DraculaN Season 3,Results for November 21st 2025,FUT,14,62
Passion UA,GenOne,2,0,Digital Crusade DraculaN Season 3,Results for November 21st 2025,Passion UA,17,56
Tricked,illwill,2,0,Digital Crusade DraculaN Season 3,Results for November 21st 2025,Tricked,59,46
Alliance,ARCRED,2,0,JB Pro League Season 1,Results for November 21st 2025,Alliance,76,60
UNiTY,FUT,1,2,Digital Crusade DraculaN Season 3,Results for November 21st 2025,FUT,91,14
EYEBALLERS,CYBERSHOKE,2,1,CCT Season 3 Europe Series 11,Results for November 21st 2025,EYEBALLERS,34,58
Betclic,Inner Circle,0,1,Digital Crusade DraculaN Season 3,Results for November 21st 2025,Inner Circle,93,44
Inner Circle,illwill,9,13,Digital Crusade DraculaN Season 3,Results for November 21st 2025,illwill,44,46
ECSTATIC,UNiTY,13,3,Digital Crusade DraculaN Season 3,Results for November 21st 2025,ECSTATIC,50,91
Betclic,Tricked,0,1,Digital Crusade DraculaN Season 3,Results for November 21st 2025,Tricked,93,59
9z,Gaimin Gladiators,2,3,ESL Challenger League Season 50 South America Finals,Results for November 21st 2025,Gaimin Gladiators,42,64
BetBoom,JiJieHao,2,1,CCT Season 3 Europe Series 11,Results for November 20th 2025,BetBoom,32,79
PARIVISION,SINNERS,3,0,ESL Challenger League Season 50 Europe Finals,Results for November 20th 2025,PARIVISION,6,65
Rare Atom,Lynn Vision,2,3,ESL Challenger League Season 50 Asia-Pacific Finals,Results for November 20th 2025,Lynn Vision,72,36
BC.Game,FORZE Reload,2,0,JB Pro League Season 1,Results for November 20th 2025,BC.Game,26,90
ASTRAL,Lazer Cats,2,1,Digital Crusade DraculaN Season 3,Results for November 20th 2025,ASTRAL,87,92
CYBERSHOKE,Oramond,1,2,JB Pro League Season 1,Results for November 20th 2025,Oramond,58,51
BC.Game,K27,1,2,CCT Season 3 Europe Series 11,Results for November 20th 2025,K27,26,40
Betclic,JiJieHao,0,1,Galaxy Battle 2025 Phase 5,Results for November 20th 2025,JiJieHao,93,79
Tricked,ASTRAL,13,8,Digital Crusade DraculaN Season 3,Results for November 20th 2025,Tricked,59,87
BESTIA,Gaimin Gladiators,1,2,ESL Challenger League Season 50 South America Finals,Results for November 20th 2025,Gaimin Gladiators,37,64
SINNERS,Friendly Campers,2,0,ESL Challenger League Season 50 Europe Finals,Results for November 19th 2025,SINNERS,65,62
Lynn Vision,Chinggis Warriors,2,0,ESL Challenger League Season 50 Asia-Pacific Finals,Results for November 19th 2025,Lynn Vision,36,83
PARIVISION,BC.Game,2,0,ESL Challenger League Season 50 Europe Finals,Results for November 18th 2025,PARIVISION,6,26
JiJieHao,K27,0,2,CCT Season 3 Europe Series 11,Results for November 18th 2025,K27,79,40
Voca,Marsborne,2,0,PrizePicks NA Revival Series 11,Results for November 16th 2025,Voca,49,53
SINNERS,Monte,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for November 16th 2025,SINNERS,65,31
ARCRED,Sangal,1,2,Galaxy Battle 2025 Phase 5,Results for November 16th 2025,Sangal,60,97
FAVBET,Nuclear TigeRES,0,2,CCT Season 3 Europe Series 11,Results for November 16th 2025,Nuclear TigeRES,68,43
FURIA,Falcons,3,1,BLAST Rivals 2025 Season 2,Results for November 16th 2025,FURIA,2,3
Rare Atom,Lynn Vision,1,2,Perfect World CS Challenge Series 2,Results for November 16th 2025,Lynn Vision,72,36
Gentle Mates,9INE,2,0,Perfect World CS Challenge Series 2,Results for November 16th 2025,Gentle Mates,27,41
Sharks,9z,0,2,ESL Challenger League Season 50 South America Cup 4,Results for November 16th 2025,9z,39,42
9z,BESTIA,0,1,CCT Season 3 South America Series 6,Results for November 15th 2025,BESTIA,42,37
BESTIA,Gaimin Gladiators,2,0,CCT Season 3 South America Series 6,Results for November 15th 2025,BESTIA,37,64
Sharks,Fake do Biru,2,0,CBCS Masters Xeque Mate 2025 Finals,Results for November 15th 2025,Sharks,39,100
9z,ODDIK,2,0,CCT Season 3 South America Series 6,Results for November 15th 2025,9z,42,47
Johnny Speeds,EYEBALLERS,0,2,Svenska Cupen 2025,Results for November 15th 2025,EYEBALLERS,73,34
Falcons,Vitality,2,0,BLAST Rivals 2025 Season 2,Results for November 15th 2025,Falcons,3,1
FURIA,paiN,2,0,BLAST Rivals 2025 Season 2,Results for November 15th 2025,FURIA,2,18
9INE,Lynn Vision,0,2,Perfect World CS Challenge Series 2,Results for November 15th 2025,Lynn Vision,41,36
Gentle Mates,Rare Atom,1,2,Perfect World CS Challenge Series 2,Results for November 15th 2025,Rare Atom,27,72
Marsborne,Voca,2,0,ESL Challenger League Season 50 North America Cup 4,Results for November 15th 2025,Marsborne,53,49
ODDIK,Fake do Biru,2,0,CCT Season 3 South America Series 6,Results for November 15th 2025,ODDIK,47,100
Bounty Hunters,9z,0,2,ESL Challenger League Season 50 South America Cup 4,Results for November 15th 2025,9z,88,42
Alliance,EYEBALLERS,2,0,Svenska Cupen 2025,Results for November 14th 2025,Alliance,76,34
Oramond,JiJieHao,2,1,CCT Season 3 Europe Series 11,Results for November 14th 2025,Oramond,51,79
BESTIA,Bounty Hunters,1,0,CCT Season 3 South America Series 6,Results for November 14th 2025,BESTIA,37,88
Sharks,Gaimin Gladiators,1,2,CCT Season 3 South America Series 6,Results for November 14th 2025,Gaimin Gladiators,39,64
CYBERSHOKE,FORZE Reload,2,0,Galaxy Battle 2025 Phase 5,Results for November 14th 2025,CYBERSHOKE,58,90
Spirit,Vitality,1,2,BLAST Rivals 2025 Season 2,Results for November 14th 2025,Vitality,5,1
Passion UA,paiN,0,2,BLAST Rivals 2025 Season 2,Results for November 14th 2025,paiN,17,18
9z,Sharks,1,2,ESL Challenger League Season 50 South America Cup 4,Results for November 14th 2025,Sharks,42,39
Nuclear TigeRES,Monte,2,0,NODWIN Clutch Series 2,Results for November 13th 2025,Nuclear TigeRES,43,31
ShindeN,Bounty Hunters,0,2,CCT Season 3 South America Series 6,Results for November 13th 2025,Bounty Hunters,71,88
FURIA,Vitality,2,1,BLAST Rivals 2025 Season 2,Results for November 13th 2025,FURIA,2,1
JiJieHao,Nuclear TigeRES,0,2,NODWIN Clutch Series 2,Results for November 13th 2025,Nuclear TigeRES,79,43
paiN,TYLOO,2,1,BLAST Rivals 2025 Season 2,Results for November 13th 2025,paiN,18,30
Passion UA,Falcons,0,2,BLAST Rivals 2025 Season 2,Results for November 13th 2025,Falcons,17,3
Marsborne,BOSS,2,0,ESL Challenger League Season 50 North America Cup 4,Results for November 13th 2025,Marsborne,53,94
The MongolZ,Spirit,0,2,BLAST Rivals 2025 Season 2,Results for November 13th 2025,Spirit,10,5
BESTIA,Bounty Hunters,1,2,ESL Challenger League Season 50 South America Cup 4,Results for November 13th 2025,Bounty Hunters,37,88
EYEBALLERS,Johnny Speeds,1,2,Svenska Cupen 2025,Results for November 13th 2025,Johnny Speeds,34,73
Monte,Nemiga,2,1,ESL Challenger League Season 50 Europe Cup 4,Results for November 12th 2025,Monte,31,55
K27,Nuclear TigeRES,0,2,NODWIN Clutch Series 2,Results for November 12th 2025,Nuclear TigeRES,40,43
Vitality,TYLOO,2,1,BLAST Rivals 2025 Season 2,Results for November 12th 2025,Vitality,1,30
Monte,CYBERSHOKE,2,1,NODWIN Clutch Series 2,Results for November 12th 2025,Monte,31,58
FURIA,paiN,2,1,BLAST Rivals 2025 Season 2,Results for November 12th 2025,FURIA,2,18
Spirit,Falcons,0,2,BLAST Rivals 2025 Season 2,Results for November 12th 2025,Falcons,5,3
The MongolZ,Passion UA,1,2,BLAST Rivals 2025 Season 2,Results for November 12th 2025,Passion UA,10,17
Bounty Hunters,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 4,Results for November 12th 2025,Bounty Hunters,88,71
1win,Nemiga,0,2,ESL Challenger League Season 50 Europe Cup 4,Results for November 11th 2025,Nemiga,77,55
SINNERS,Monte,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for November 11th 2025,SINNERS,65,31
Betclic,FORZE Reload,1,2,Galaxy Battle 2025 Phase 5,Results for November 11th 2025,FORZE Reload,93,90
Nemiga,JiJieHao,0,2,NODWIN Clutch Series 2,Results for November 11th 2025,JiJieHao,55,79
Voca,Marsborne,2,0,ESL Challenger League Season 50 North America Cup 4,Results for November 11th 2025,Voca,49,53
Sharks,ShindeN,2,1,ESL Challenger League Season 50 South America Cup 4,Results for November 11th 2025,Sharks,39,71
K27,Sangal,2,0,ESL Challenger League Season 50 Europe Cup 4,Results for November 10th 2025,K27,40,97
Monte,Oramond,2,0,NODWIN Clutch Series 2,Results for November 10th 2025,Monte,31,51
GenOne,Nuclear TigeRES,1,2,CCT Season 3 Europe Series 11 Closed Qualifier,Results for November 10th 2025,Nuclear TigeRES,56,43
M80,NRG,2,3,Fragadelphia Ultra Mega Jersey 2025,Results for November 10th 2025,NRG,24,19
Sharks,Fluxo,1,3,Circuit X Retake São Paulo 2025,Results for November 10th 2025,Fluxo,39,66
Oramond,Nuclear TigeRES,2,1,CCT Season 3 Europe Series 10,Results for November 9th 2025,Oramond,51,43
FORZE Reload,Ursa,0,2,ESEA Advanced Season 55 Europe,Results for November 9th 2025,Ursa,90,85
M80,Marsborne,2,0,Fragadelphia Ultra Mega Jersey 2025,Results for November 9th 2025,M80,24,53
JiJieHao,GenOne,2,1,NODWIN Clutch Series 2,Results for November 9th 2025,JiJieHao,79,56
Nemiga,Oramond,1,2,CCT Season 3 Europe Series 10,Results for November 9th 2025,Oramond,55,51
Vitality,FURIA,0,3,IEM Chengdu 2025,Results for November 9th 2025,FURIA,1,2
MOUZ,Falcons,1,2,IEM Chengdu 2025,Results for November 9th 2025,Falcons,4,3
Imperial,Sharks,1,2,Circuit X Retake São Paulo 2025,Results for November 9th 2025,Sharks,23,39
EYEBALLERS,BetBoom,2,1,Red Bull GIBAWAY JOURNEY 2025,Results for November 8th 2025,EYEBALLERS,34,32
Nemiga,FAVBET,2,1,CCT Season 3 Europe Series 10,Results for November 8th 2025,Nemiga,55,68
Fluxo,9z,2,0,Circuit X Retake São Paulo 2025,Results for November 8th 2025,Fluxo,66,42
Sharks,Gaimin Gladiators,2,1,Circuit X Retake São Paulo 2025,Results for November 8th 2025,Sharks,39,64
BetBoom,Sashi,2,0,Red Bull GIBAWAY JOURNEY 2025,Results for November 8th 2025,BetBoom,32,78
Falcons,FURIA,0,2,IEM Chengdu 2025,Results for November 8th 2025,FURIA,3,2
Nuclear TigeRES,JiJieHao,2,0,CCT Season 3 Europe Series 10,Results for November 8th 2025,Nuclear TigeRES,43,79
EYEBALLERS,ENCE,2,0,Red Bull GIBAWAY JOURNEY 2025,Results for November 8th 2025,EYEBALLERS,34,70
Alliance,Sashi,0,2,Red Bull GIBAWAY JOURNEY 2025,Results for November 8th 2025,Sashi,76,78
MOUZ,Vitality,1,2,IEM Chengdu 2025,Results for November 8th 2025,Vitality,4,1
9z,Sharks,1,2,Circuit X Retake São Paulo 2025,Results for November 8th 2025,Sharks,42,39
Sashi,BC.Game,2,0,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,Sashi,78,26
Johnny Speeds,ENCE,0,2,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,ENCE,73,70
Gaimin Gladiators,Bounty Hunters,2,0,Circuit X Retake São Paulo 2025,Results for November 7th 2025,Gaimin Gladiators,64,88
Inner Circle,Johnny Speeds,14,16,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,Johnny Speeds,44,73
ENCE,EYEBALLERS,8,13,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,EYEBALLERS,70,34
Alliance,BC.Game,13,3,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,Alliance,76,26
BetBoom,Sashi,13,9,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,BetBoom,32,78
ENCE,MOUZ NXT,19,17,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,ENCE,70,69
BetBoom,Betclic,13,5,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,BetBoom,32,93
Sashi,Betclic,13,7,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,Sashi,78,93
Oramond,K27,0,2,NODWIN Clutch Series 2,Results for November 7th 2025,K27,51,40
EYEBALLERS,MOUZ NXT,13,7,Red Bull GIBAWAY JOURNEY 2025,Results for November 7th 2025,EYEBALLERS,34,69
FURIA,The MongolZ,2,0,IEM Chengdu 2025,Results for November 7th 2025,FURIA,2,10
Nuclear TigeRES,GenOne,2,0,NODWIN Clutch Series 2,Results for November 7th 2025,Nuclear TigeRES,43,56
Vitality,Astralis,2,1,IEM Chengdu 2025,Results for November 7th 2025,Vitality,1,12
Fluxo,Bounty Hunters,2,1,Circuit X Retake São Paulo 2025,Results for November 7th 2025,Fluxo,66,88
Gaimin Gladiators,Bounty Hunters,1,2,Circuit X Retake São Paulo 2025,Results for November 7th 2025,Bounty Hunters,64,88
Monte,Nuclear TigeRES,0,2,CCT Season 3 Europe Series 10,Results for November 6th 2025,Nuclear TigeRES,31,43
SINNERS,ECSTATIC,0,2,Winline Insight Season 9,Results for November 6th 2025,ECSTATIC,65,50
Alliance,Tricked,2,0,European Pro League Cup 2,Results for November 6th 2025,Alliance,76,59
Marsborne,Voca,2,1,Dust2.us Eagle Masters Series 4,Results for November 6th 2025,Marsborne,53,49
Sangal,ECSTATIC,1,2,Winline Insight Season 9,Results for November 5th 2025,ECSTATIC,97,50
Spirit,The MongolZ,1,2,IEM Chengdu 2025,Results for November 5th 2025,The MongolZ,5,10
Oramond,1win,0,2,NODWIN Clutch Series 2,Results for November 5th 2025,1win,51,77
Astralis,Falcons,0,2,IEM Chengdu 2025,Results for November 5th 2025,Falcons,12,3
FURIA,MOUZ,1,2,IEM Chengdu 2025,Results for November 5th 2025,MOUZ,2,4
Vitality,G2,2,0,IEM Chengdu 2025,Results for November 5th 2025,Vitality,1,9
The MongolZ,paiN,2,1,IEM Chengdu 2025,Results for November 5th 2025,The MongolZ,10,18
HEROIC,Spirit,1,2,IEM Chengdu 2025,Results for November 5th 2025,Spirit,22,5
G2,Virtus.pro,2,1,IEM Chengdu 2025,Results for November 5th 2025,G2,9,61
Lynn Vision,Vitality,0,2,IEM Chengdu 2025,Results for November 5th 2025,Vitality,36,1
ECSTATIC,EYEBALLERS,2,0,Winline Insight Season 9,Results for November 4th 2025,ECSTATIC,50,34
ARCRED,K27,1,2,NODWIN Clutch Series 2,Results for November 4th 2025,K27,60,40
TYLOO,paiN,0,2,IEM Chengdu 2025,Results for November 4th 2025,paiN,30,18
Falcons,Spirit,2,0,IEM Chengdu 2025,Results for November 4th 2025,Falcons,3,5
Oramond,FORZE Reload,2,1,NODWIN Clutch Series 2,Results for November 4th 2025,Oramond,51,90
The MongolZ,Astralis,0,2,IEM Chengdu 2025,Results for November 4th 2025,Astralis,10,12
HEROIC,Natus Vincere,2,1,IEM Chengdu 2025,Results for November 4th 2025,HEROIC,22,8
MOUZ,Vitality,2,1,IEM Chengdu 2025,Results for November 4th 2025,MOUZ,4,1
FaZe,Virtus.pro,1,2,IEM Chengdu 2025,Results for November 4th 2025,Virtus.pro,7,61
Lynn Vision,3DMAX,2,1,IEM Chengdu 2025,Results for November 4th 2025,Lynn Vision,36,13
FURIA,G2,2,0,IEM Chengdu 2025,Results for November 4th 2025,FURIA,2,9
SINNERS,JiJieHao,2,0,Winline Insight Season 9,Results for November 3rd 2025,SINNERS,65,79
Astralis,Natus Vincere,2,1,IEM Chengdu 2025,Results for November 3rd 2025,Astralis,12,8
G2 Ares,Tricked,0,2,European Pro League Cup 2,Results for November 3rd 2025,Tricked,84,59
paiN,Spirit,0,2,IEM Chengdu 2025,Results for November 3rd 2025,Spirit,18,5
G2,3DMAX,2,0,IEM Chengdu 2025,Results for November 3rd 2025,G2,9,13
The MongolZ,HEROIC,2,1,IEM Chengdu 2025,Results for November 3rd 2025,The MongolZ,10,22
Vitality,Virtus.pro,2,1,IEM Chengdu 2025,Results for November 3rd 2025,Vitality,1,61
MOUZ,FaZe,2,0,IEM Chengdu 2025,Results for November 3rd 2025,MOUZ,4,7
FURIA,Lynn Vision,2,0,IEM Chengdu 2025,Results for November 3rd 2025,FURIA,2,36
TYLOO,Falcons,0,2,IEM Chengdu 2025,Results for November 3rd 2025,Falcons,30,3
M80,BIG,2,0,DreamHack Knockout Atlanta 2025,Results for November 2nd 2025,M80,24,63
FUT,Nemiga,1,2,CCT Season 3 Europe Series 9,Results for November 2nd 2025,Nemiga,14,55
1win,K27,2,1,NODWIN Clutch Series 2,Results for November 2nd 2025,1win,77,40
Oramond,FAVBET,0,1,CCT Season 3 Europe Series 10,Results for November 2nd 2025,FAVBET,51,68
Tricked,Alliance,0,2,European Pro League Cup 2,Results for November 2nd 2025,Alliance,59,76
BIG,Imperial,2,1,DreamHack Knockout Atlanta 2025,Results for November 2nd 2025,BIG,63,23
Marsborne,M80,1,2,DreamHack Knockout Atlanta 2025,Results for November 2nd 2025,M80,53,24
