team1,team2,score1,score2,event,date,winner,rank1,rank2
magic,ex-RUBY,0,2,European Pro League Series 4,Results for February 3rd 2026,ex-RUBY,48,57
Nemesis,illwill,0,1,NODWIN Clutch Series 4,Results for February 3rd 2026,illwill,45,46
Nemiga,Nuclear TigeRES,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemiga,55,43
FURIA,Natus Vincere,2,1,IEM Kraków 2026,Results for February 2nd 2026,FURIA,2,8
FUT,Astralis,1,2,IEM Kraków 2026,Results for February 2nd 2026,Astralis,14,12
BET-M,Nemesis,1,2,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemesis,80,45
Inner Circle,Betclic,1,2,NODWIN Clutch Series 4,Results for February 2nd 2026,Betclic,44,93
NRG,Falcons,1,2,IEM Kraków 2026,Results for February 2nd 2026,Falcons,19,3
FaZe,BC.Game,2,1,IEM Kraków 2026,Results for February 2nd 2026,FaZe,7,26
WHITEBIRD,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,WHITEBIRD,86,98
ARCRED,K27,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,ARCRED,60,40
Sangal,Nemiga,1,0,NODWIN Clutch Series 4,Results for February 2nd 2026,Sangal,97,55
9INE,MOUZ NXT,2,1,NODWIN Clutch Series 4,Results for February 2nd 2026,9INE,41,69
MOUZ,Aurora,0,2,IEM Kraków 2026,Results for February 2nd 2026,Aurora,4,11
3DMAX,Vitality,0,2,IEM Kraków 2026,Results for February 2nd 2026,Vitality,13,1
Nuclear TigeRES,Nemesis,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,Nuclear TigeRES,43,45
1win,Johnny Speeds,2,0,CCT Season 3 Europe Series 14,Results for February 2nd 2026,1win,77,73
K27,RUSTEC,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,K27,40,98
FAVBET,ex-RUBY,2,1,European Pro League Series 4,Results for February 2nd 2026,FAVBET,68,57
Nemiga,BET-M,2,1,Exort Cataclysm Season 1,Results for February 2nd 2026,Nemiga,55,80
ARCRED,WHITEBIRD,2,0,Exort Cataclysm Season 1,Results for February 2nd 2026,ARCRED,60,86
magic,Oramond,0,1,European Pro League Series 4,Results for February 2nd 2026,Oramond,48,51
Nuclear TigeRES,UNiTY,2,0,NODWIN Clutch Series 4,Results for February 2nd 2026,Nuclear TigeRES,43,91
MIBR,RED Canids,2,1,FiRe CONTER Season 1,Results for February 2nd 2026,MIBR,28,38
RED Canids,BESTIA,2,1,FiRe CONTER Season 1,Results for February 1st 2026,RED Canids,38,37
ex-RUBY,MOUZ NXT,2,0,Exort Series 21,Results for February 1st 2026,ex-RUBY,57,69
PARIVISION,Astralis,1,2,IEM Kraków 2026,Results for February 1st 2026,Astralis,6,12
Natus Vincere,Spirit,0,2,IEM Kraków 2026,Results for February 1st 2026,Spirit,8,5
The MongolZ,FURIA,1,2,IEM Kraków 2026,Results for February 1st 2026,FURIA,10,2
ODDIK,MIBR,1,2,FiRe CONTER Season 1,Results for February 1st 2026,MIBR,47,28
G2,FUT,2,1,IEM Kraków 2026,Results for February 1st 2026,G2,9,14
ex-RUBY,FORZE Reload,2,0,CCT Season 3 Europe Series 14,Results for February 1st 2026,ex-RUBY,57,90
MOUZ NXT,BET-M,1,0,Exort Series 21,Results for February 1st 2026,MOUZ NXT,69,80
Nuclear TigeRES,BET-M,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,Nuclear TigeRES,43,80
Falcons,Aurora,1,2,IEM Kraków 2026,Results for February 1st 2026,Aurora,3,11
Nemesis,Nemiga,0,2,Exort Cataclysm Season 1,Results for February 1st 2026,Nemiga,45,55
MOUZ,NRG,2,0,IEM Kraków 2026,Results for February 1st 2026,MOUZ,4,19
Sashi,Oramond,1,2,European Pro League Series 4,Results for February 1st 2026,Oramond,78,51
1win,magic,1,2,European Pro League Series 4,Results for February 1st 2026,magic,77,48
BESTIA,Marsborne,2,1,FiRe CONTER Season 1,Results for February 1st 2026,BESTIA,37,53
MIBR,9z,2,0,FiRe CONTER Season 1,Results for February 1st 2026,MIBR,28,42
WHITEBIRD,FORZE Reload,2,1,Exort Cataclysm Season 1,Results for February 1st 2026,WHITEBIRD,86,90
Sharks,9z,1,2,FiRe CONTER Season 1,Results for January 31st 2026,9z,39,42
ODDIK,Bounty Hunters,2,1,FiRe CONTER Season 1,Results for January 31st 2026,ODDIK,47,88
Vitality,BC.Game,2,0,IEM Kraków 2026,Results for January 31st 2026,Vitality,1,26
FaZe,3DMAX,0,2,IEM Kraków 2026,Results for January 31st 2026,3DMAX,7,13
Spirit,Astralis,2,0,IEM Kraków 2026,Results for January 31st 2026,Spirit,5,12
ex-RUBY,KOLESIE,2,1,European Pro League Series 4,Results for January 31st 2026,ex-RUBY,57,54
ShindeN,RED Canids,0,2,FiRe CONTER Season 1,Results for January 31st 2026,RED Canids,71,38
RUSTEC,ARCRED,1,2,Exort Cataclysm Season 1,Results for January 31st 2026,ARCRED,98,60
FURIA,FUT,0,2,IEM Kraków 2026,Results for January 31st 2026,FUT,2,14
Natus Vincere,PARIVISION,2,1,IEM Kraków 2026,Results for January 31st 2026,Natus Vincere,8,6
Imperial,Bounty Hunters,0,2,FiRe CONTER Season 1,Results for January 31st 2026,Bounty Hunters,23,88
K27,WHITEBIRD,2,1,Exort Cataclysm Season 1,Results for January 31st 2026,K27,40,86
Fluxo,RED Canids,0,2,FiRe CONTER Season 1,Results for January 31st 2026,RED Canids,66,38
Inner Circle,FAVBET,1,2,European Pro League Series 4,Results for January 31st 2026,FAVBET,44,68
The MongolZ,G2,0,2,IEM Kraków 2026,Results for January 31st 2026,G2,10,9
FORZE Reload,WHITEBIRD,0,2,Exort Cataclysm Season 1,Results for January 31st 2026,WHITEBIRD,90,86
Virtus.pro,RUSTEC,0,2,Exort Cataclysm Season 1,Results for January 31st 2026,RUSTEC,61,98
MOUZ NXT,ARCRED,1,0,NODWIN Clutch Series 4,Results for January 31st 2026,MOUZ NXT,69,60
Sharks,MIBR,1,2,FiRe CONTER Season 1,Results for January 31st 2026,MIBR,39,28
MIBR,9z,2,1,FiRe CONTER Season 1,Results for January 31st 2026,MIBR,28,42
SINNERS,Nemiga,2,0,CCT Season 3 Europe Series 13,Results for January 30th 2026,SINNERS,65,55
Oramond,magic,2,0,CCT Season 3 Europe Series 14,Results for January 30th 2026,Oramond,51,48
FUT,Liquid,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,FUT,14,15
GamerLegion,Astralis,0,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,Astralis,20,12
Marsborne,BESTIA,1,2,FiRe CONTER Season 1,Results for January 30th 2026,BESTIA,53,37
paiN,Aurora,0,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,Aurora,18,11
Nemiga,BIG,2,1,CCT Season 3 Europe Series 13,Results for January 30th 2026,Nemiga,55,63
BC.Game,Ninjas in Pyjamas,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,BC.Game,26,21
Astralis,NRG,1,2,IEM Kraków 2026 Stage 1,Results for January 30th 2026,NRG,12,19
GamerLegion,HEROIC,2,0,IEM Kraków 2026 Stage 1,Results for January 30th 2026,GamerLegion,20,22
FAVBET,Betclic,1,2,NODWIN Clutch Series 4,Results for January 30th 2026,Betclic,68,93
1win,SINNERS,1,2,CCT Season 3 Europe Series 13,Results for January 30th 2026,SINNERS,77,65
Fluxo,ShindeN,0,2,FiRe CONTER Season 1,Results for January 30th 2026,ShindeN,66,71
RED Canids,ShindeN,0,2,FiRe CONTER Season 1,Results for January 30th 2026,ShindeN,38,71
BET-M,BIG,1,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,BIG,80,63
Liquid,G2,1,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,G2,15,9
Imperial,ODDIK,1,2,FiRe CONTER Season 1,Results for January 29th 2026,ODDIK,23,47
Legacy,FUT,0,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,FUT,25,14
Johnny Speeds,Ursa,2,1,CCT Season 3 Europe Series 14,Results for January 29th 2026,Johnny Speeds,73,85
Ninjas in Pyjamas,Passion UA,2,1,IEM Kraków 2026 Stage 1,Results for January 29th 2026,Ninjas in Pyjamas,21,17
ENCE,Nemiga,0,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,Nemiga,70,55
BC.Game,3DMAX,0,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,3DMAX,26,13
ODDIK,Bounty Hunters,2,0,FiRe CONTER Season 1,Results for January 29th 2026,ODDIK,47,88
1win,illwill,2,1,CCT Season 3 Europe Series 13,Results for January 29th 2026,1win,77,46
Aurora,PARIVISION,1,2,IEM Kraków 2026 Stage 1,Results for January 29th 2026,PARIVISION,11,6
paiN,B8,2,0,IEM Kraków 2026 Stage 1,Results for January 29th 2026,paiN,18,16
Johnny Speeds,magic,0,2,European Pro League Series 4,Results for January 29th 2026,magic,73,48
1win,UNiTY,2,1,European Pro League Series 4,Results for January 29th 2026,1win,77,91
Nemesis,SINNERS,0,2,CCT Season 3 Europe Series 13,Results for January 29th 2026,SINNERS,45,65
Passion UA,G2,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,G2,17,9
ex-RUBY,illwill,1,2,NODWIN Clutch Series 4,Results for January 28th 2026,illwill,57,46
Liquid,Ninjas in Pyjamas,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Liquid,15,21
FUT,3DMAX,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,3DMAX,14,13
BIG,ARCRED,1,0,CCT Season 3 Europe Series 13,Results for January 28th 2026,BIG,63,60
BetBoom,HOTU,2,1,MySkill Pro League Series 1,Results for January 28th 2026,BetBoom,32,35
Legacy,BC.Game,0,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,BC.Game,25,26
EYEBALLERS,1win,0,2,CCT Season 3 Europe Series 13,Results for January 28th 2026,1win,34,77
NRG,B8,2,1,IEM Kraków 2026 Stage 1,Results for January 28th 2026,NRG,19,16
ENCE,ex-RUBY,2,1,CCT Season 3 Europe Series 13,Results for January 28th 2026,ENCE,70,57
FAVBET,MOUZ NXT,2,1,European Pro League Series 4,Results for January 28th 2026,FAVBET,68,69
Astralis,paiN,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Astralis,12,18
HEROIC,PARIVISION,1,2,IEM Kraków 2026 Stage 1,Results for January 28th 2026,PARIVISION,22,6
KOLESIE,ex-RUBY,2,1,CCT Season 3 Europe Series 14,Results for January 28th 2026,KOLESIE,54,57
UNiTY,Betclic,2,1,NODWIN Clutch Series 4,Results for January 28th 2026,UNiTY,91,93
Aurora,GamerLegion,2,0,IEM Kraków 2026 Stage 1,Results for January 28th 2026,Aurora,11,20
BetBoom,HOTU,2,1,MySkill Pro League Series 1,Results for January 28th 2026,BetBoom,32,35
SINNERS,Nuclear TigeRES,2,0,CCT Season 3 Europe Series 13,Results for January 28th 2026,SINNERS,65,43
