match_id,team1,team2,map_name,score_t1,score_t2,map_winner,map_number,date
2389560,HOTU,FAVBET,Anubis,10,13,FAVBET,1,3rd of February 2026
2389560,HOTU,FAVBET,Overpass,9,13,FAVBET,2,3rd of February 2026
2389729,K27,Nuclear TigeRES,Ancient,6,13,Nuclear TigeRES,1,3rd of February 2026
2389729,K27,Nuclear TigeRES,Dust2,13,8,K27,2,3rd of February 2026
2389729,K27,Nuclear TigeRES,Nuke,13,5,K27,3,3rd of February 2026
2389728,ARCRED,Nemiga,Ancient,16,12,ARCRED,1,3rd of February 2026
2389728,ARCRED,Nemiga,Nuke,11,13,Nemiga,2,3rd of February 2026
2389728,ARCRED,Nemiga,Anubis,2,13,Nemiga,3,3rd of February 2026
2389229,SINNERS,GenOne,Inferno,13,6,SINNERS,1,3rd of February 2026
2389229,SINNERS,GenOne,Nuke,14,16,GenOne,2,3rd of February 2026
2389229,SINNERS,GenOne,Dust2,10,13,GenOne,3,3rd of February 2026
2389655,MOUZ,FaZe,Mirage,13,5,MOUZ,1,3rd of February 2026
2389655,MOUZ,FaZe,Inferno,13,6,MOUZ,2,3rd of February 2026
2389656,3DMAX,Falcons,Anubis,5,13,Falcons,1,3rd of February 2026
2389656,3DMAX,Falcons,Dust2,9,13,Falcons,2,3rd of February 2026
2389559,ECSTATIC,Oramond,Mirage,13,8,ECSTATIC,1,3rd of February 2026
2389559,ECSTATIC,Oramond,Inferno,13,11,ECSTATIC,2,3rd of February 2026
2389726,WHITEBIRD,Nuclear TigeRES,Dust2,13,11,WHITEBIRD,1,3rd of February 2026
2389726,WHITEBIRD,Nuclear TigeRES,Inferno,17,19,Nuclear TigeRES,2,3rd of February 2026
2389726,WHITEBIRD,Nuclear TigeRES,Nuke,8,13,Nuclear TigeRES,3,3rd of February 2026
2389558,EYEBALLERS,1win,Dust2,13,6,EYEBALLERS,1,3rd of February 2026
2389558,EYEBALLERS,1win,Ancient,11,13,1win,2,3rd of February 2026
2389558,EYEBALLERS,1win,Mirage,13,5,EYEBALLERS,3,3rd of February 2026
2389727,K27,Nemesis,Dust2,13,9,K27,1,3rd of February 2026
2389727,K27,Nemesis,Nuke,11,13,Nemesis,2,3rd of February 2026
2389727,K27,Nemesis,Mirage,13,9,K27,3,3rd of February 2026
2389057,magic,ex-RUBY,Mirage,4,13,ex-RUBY,1,3rd of February 2026
2389057,magic,ex-RUBY,Dust2,3,13,ex-RUBY,2,3rd of February 2026
2389724,Nemiga,Nuclear TigeRES,Dust2,13,11,Nemiga,1,2nd of February 2026
2389724,Nemiga,Nuclear TigeRES,Ancient,10,13,Nuclear TigeRES,2,2nd of February 2026
2389724,Nemiga,Nuclear TigeRES,Anubis,13,4,Nemiga,3,2nd of February 2026
2389653,FURIA,Natus Vincere,Mirage,13,7,FURIA,1,2nd of February 2026
2389653,FURIA,Natus Vincere,Inferno,9,13,Natus Vincere,2,2nd of February 2026
2389653,FURIA,Natus Vincere,Dust2,13,6,FURIA,3,2nd of February 2026
2389654,FUT,Astralis,Mirage,13,7,FUT,1,2nd of February 2026
2389654,FUT,Astralis,Overpass,11,13,Astralis,2,2nd of February 2026
2389654,FUT,Astralis,Nuke,2,13,Astralis,3,2nd of February 2026
2389725,BET-M,Nemesis,Nuke,3,13,Nemesis,1,2nd of February 2026
2389725,BET-M,Nemesis,Mirage,13,8,BET-M,2,2nd of February 2026
2389725,BET-M,Nemesis,Ancient,7,13,Nemesis,3,2nd of February 2026
2389226,Inner Circle,Betclic,Dust2,13,4,Inner Circle,1,2nd of February 2026
