team1,team2,score1,score2,event,date,match_url,winner
regain,Wildcard,0,2,Dust2.us Eagle Masters Series 6,Results for February 10th 2026,https://www.hltv.org/matches/2390172/regain-vs-wildcard-dust2us-eagle-masters-series-6,Wildcard
Rave,LAG,1,0,CCT Season 3 North America Series 3,Results for February 10th 2026,https://www.hltv.org/matches/2389763/rave-vs-lag-cct-season-3-north-america-series-3,Rave
Marsborne,SportsBetExpert,2,0,CCT Season 3 North America Series 3,Results for February 10th 2026,https://www.hltv.org/matches/2389762/marsborne-vs-sportsbetexpert-cct-season-3-north-america-series-3,Marsborne
Procyon,BESTIA Academy,1,2,CCT Season 3 South America Series 8,Results for February 10th 2026,https://www.hltv.org/matches/2389791/procyon-vs-bestia-academy-cct-season-3-south-america-series-8,BESTIA Academy
Peekaboo,Fingers Crossed fe,2,0,JB Pro League Female Season 1,Results for February 9th 2026,https://www.hltv.org/matches/2390089/peekaboo-vs-fingers-crossed-fe-jb-pro-league-female-season-1,Peekaboo
home,Washington,2,0,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390006/home-vs-washington-cct-season-3-europe-series-16-closed-qualifier,home
BIG EQUIPA,los kogutos,0,2,CCT Season 3 Europe Series 15,Results for February 9th 2026,https://www.hltv.org/matches/2389844/big-equipa-vs-los-kogutos-cct-season-3-europe-series-15,los kogutos
FURIA fe,Crashers,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,https://www.hltv.org/matches/2389790/furia-fe-vs-crashers-cct-season-3-south-america-series-8,Crashers
Leo,Lazer Cats,1,2,CCT Season 3 Europe Series 15,Results for February 9th 2026,https://www.hltv.org/matches/2389843/leo-vs-lazer-cats-cct-season-3-europe-series-15,Lazer Cats
Bebop,BRUTE,1,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390005/bebop-vs-brute-cct-season-3-europe-series-16-closed-qualifier,BRUTE
Pigeons,imodium,2,0,JB Pro League Female Season 1,Results for February 9th 2026,https://www.hltv.org/matches/2390088/pigeons-vs-imodium-jb-pro-league-female-season-1,Pigeons
Players,GameHunters,0,2,CCT Season 3 South America Series 8,Results for February 9th 2026,https://www.hltv.org/matches/2389789/players-vs-gamehunters-cct-season-3-south-america-series-8,GameHunters
MASONIC,QWENTRY,0,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390004/masonic-vs-qwentry-cct-season-3-europe-series-16-closed-qualifier,QWENTRY
Phantom,WHITEBIRD,2,0,CCT Season 3 Europe Series 15,Results for February 9th 2026,https://www.hltv.org/matches/2389842/phantom-vs-whitebird-cct-season-3-europe-series-15,Phantom
VP.Prodigy,Enjoy,1,2,CCT Season 3 Europe Series 16 Closed Qualifier,Results for February 9th 2026,https://www.hltv.org/matches/2390003/vpprodigy-vs-enjoy-cct-season-3-europe-series-16-closed-qualifier,Enjoy
Metizport,ALGO,2,0,CCT Season 3 Europe Series 15,Results for February 9th 2026,https://www.hltv.org/matches/2389841/metizport-vs-algo-cct-season-3-europe-series-15,Metizport
FlyQuest RED,SportsBetExpert,0,2,CCT Season 3 North America Series 3,Results for February 9th 2026,https://www.hltv.org/matches/2389761/flyquest-red-vs-sportsbetexpert-cct-season-3-north-america-series-3,SportsBetExpert
