match_id,veto_order,team,action,map_name
2389781,2,Curralzinho,removed,Nuke
2389781,3,BESTIA Academy,picked,Dust2
2389781,4,Curralzinho,picked,Mirage
2389781,5,BESTIA Academy,removed,Inferno
2389781,6,Curralzinho,removed,Overpass
2389834,1,MASONIC,removed,Dust2
2389834,2,VP.Prodigy,removed,Ancient
2389834,3,MASONIC,picked,Overpass
2389834,4,VP.Prodigy,picked,Nuke
2389834,5,MASONIC,removed,Mirage
2389834,6,VP.Prodigy,removed,Anubis
2389169,1,AaB,removed,Nuke
2389169,2,STATE,removed,Dust2
2389169,3,AaB,picked,Inferno
2389169,4,STATE,picked,Anubis
2389169,5,AaB,removed,Mirage
2389169,6,STATE,removed,Ancient
2389944,1,M1X KS,removed,Nuke
2389944,2,Ninjas in Pyjamas,removed,Inferno
2389944,3,M1X KS,picked,Dust2
2389944,4,Ninjas in Pyjamas,picked,Overpass
2389944,5,M1X KS,removed,Anubis
2389944,6,Ninjas in Pyjamas,removed,Mirage
2389833,1,Omega,removed,Overpass
2389833,2,Nexus,removed,Nuke
2389833,3,Omega,picked,Mirage
2389833,4,Nexus,picked,Inferno
2389833,5,Omega,removed,Anubis
2389833,6,Nexus,removed,Ancient
2389745,1,Underground,removed,Inferno
2389745,2,Rooster,removed,Ancient
2389745,3,Underground,picked,Nuke
2389745,4,Rooster,picked,Overpass
2389745,5,Underground,removed,Anubis
2389745,6,Rooster,removed,Mirage
2389744,1,Mindfreak,removed,Ancient
2389744,2,THUNDER dOWNUNDER,removed,Mirage
2389744,3,Mindfreak,picked,Overpass
2389744,4,THUNDER dOWNUNDER,picked,Nuke
2389744,5,Mindfreak,removed,Dust2
2389744,6,THUNDER dOWNUNDER,removed,Anubis
2389927,1,Blitzkrieg,removed,Nuke
2389927,2,Sakura,removed,Anubis
2389927,3,Blitzkrieg,picked,Ancient
2389927,4,Sakura,picked,Overpass
2389927,5,Blitzkrieg,removed,Inferno
2389927,6,Sakura,removed,Dust2
2389757,1,Zomblers,removed,Overpass
2389757,2,Outfit 49,removed,Inferno
2389757,3,Zomblers,picked,Ancient
2389757,4,Outfit 49,picked,Nuke
2389757,5,Zomblers,removed,Anubis
2389757,6,Outfit 49,removed,Mirage
2389932,1,InControl,removed,Ancient
2389932,2,Chicken Coop,removed,Mirage
2389932,3,InControl,picked,Nuke
2389932,4,Chicken Coop,picked,Overpass
2389932,5,InControl,removed,Anubis
2389932,6,Chicken Coop,removed,Inferno
2389931,1,Reign Above,removed,Mirage
2389931,2,FlyQuest RED,removed,Inferno
2389931,3,Reign Above,picked,Dust2
2389931,4,FlyQuest RED,picked,Ancient
2389931,5,Reign Above,removed,Overpass
2389931,6,FlyQuest RED,removed,Anubis
2389743,1,Rooster,removed,Ancient
2389743,2,Mindfreak,removed,Dust2
2389743,3,Rooster,picked,Anubis
2389743,4,Mindfreak,picked,Nuke
2389743,5,Rooster,removed,Mirage
2389743,6,Mindfreak,removed,Inferno
2389742,1,Underground,removed,Inferno
2389742,2,THUNDER dOWNUNDER,removed,Mirage
