match_id,map_name,map_number,team1,team2,pistol1_winner,pistol2_winner
2385909,Dust2,1,M80,HEROIC,M80,HEROIC
2385909,Overpass,2,M80,HEROIC,M80,M80
2385908,Ancient,1,GamerLegion,Inner Circle,Inner Circle,Inner Circle
2385908,Overpass,2,GamerLegion,Inner Circle,GamerLegion,Inner Circle
2385908,Dust2,3,GamerLegion,Inner Circle,Inner Circle,Inner Circle
2385907,Ancient,1,Astralis,ENCE,Astralis,Astralis
2385907,Nuke,2,Astralis,ENCE,ENCE,Astralis
2385907,Overpass,3,Astralis,ENCE,ENCE,Astralis
2385905,Overpass,1,B8,HOTU,B8,B8
2385905,Mirage,2,B8,HOTU,HOTU,HOTU
2385905,Ancient,3,B8,HOTU,HOTU,HOTU
2386103,Dust2,1,9z,Gaimin Gladiators,Gaimin Gladiators,Gaimin Gladiators
2386103,Train,2,9z,Gaimin Gladiators,9z,Gaimin Gladiators
2386103,Ancient,3,9z,Gaimin Gladiators,9z,9z
2386104,Ancient,1,ODDIK,Bounty Hunters,ODDIK,ODDIK
2386104,Train,2,ODDIK,Bounty Hunters,ODDIK,Bounty Hunters
2386096,Ancient,1,BESTIA,ODDIK,BESTIA,ODDIK
2386096,Inferno,2,BESTIA,ODDIK,ODDIK,BESTIA
2386036,Ancient,1,OG,Passion UA,Passion UA,OG
2386036,Train,2,OG,Passion UA,Passion UA,OG
2386036,Nuke,3,OG,Passion UA,Passion UA,OG
2385995,Ancient,1,Betclic,1win,Betclic,1win
2385995,Dust2,2,Betclic,1win,Betclic,1win
2385901,Dust2,1,M80,ENCE,ENCE,M80
2385901,Mirage,2,M80,ENCE,ENCE,ENCE
2385901,Ancient,3,M80,ENCE,ENCE,ENCE
2385897,Nuke,1,HEROIC,Gentle Mates,HEROIC,HEROIC
2385897,Mirage,2,HEROIC,Gentle Mates,Gentle Mates,HEROIC
2385897,Ancient,3,HEROIC,Gentle Mates,HEROIC,HEROIC
2385994,Inferno,1,JiJieHao,FAVBET,FAVBET,FAVBET
2385994,Dust2,2,JiJieHao,FAVBET,FAVBET,JiJieHao
2385793,Mirage,1,PARIVISION,BetBoom,BetBoom,BetBoom
2385793,Dust2,2,PARIVISION,BetBoom,PARIVISION,PARIVISION
2385793,Ancient,3,PARIVISION,BetBoom,PARIVISION,BetBoom
2385793,Train,4,PARIVISION,BetBoom,BetBoom,PARIVISION
2385793,Overpass,5,PARIVISION,BetBoom,PARIVISION,BetBoom
2385902,Dust2,1,Legacy,B8,Legacy,Legacy
2385902,Ancient,2,Legacy,B8,Legacy,B8
2385902,Train,3,Legacy,B8,Legacy,B8
2385904,Overpass,1,FURIA,HOTU,HOTU,FURIA
2385904,Dust2,2,FURIA,HOTU,HOTU,HOTU
2385993,Nuke,1,Sashi,SINNERS,SINNERS,Sashi
2385993,Dust2,2,Sashi,SINNERS,SINNERS,SINNERS
2385993,Overpass,3,Sashi,SINNERS,SINNERS,Sashi
2386082,Dust2,1,Liquid,9INE,Liquid,Liquid
2386082,Train,2,Liquid,9INE,9INE,Liquid
2386082,Nuke,3,Liquid,9INE,Liquid,9INE
2385900,Ancient,1,3DMAX,Inner Circle,Inner Circle,Inner Circle
2385900,Nuke,2,3DMAX,Inner Circle,Inner Circle,3DMAX
2385900,Train,3,3DMAX,Inner Circle,3DMAX,Inner Circle
2385903,Train,1,GamerLegion,NRG,GamerLegion,GamerLegion
2385903,Overpass,2,GamerLegion,NRG,NRG,GamerLegion
2385899,Mirage,1,Astralis,Fluxo,Astralis,Astralis
2385899,Inferno,2,Astralis,Fluxo,Fluxo,Fluxo
2385899,Nuke,3,Astralis,Fluxo,Astralis,Astralis
2386079,Inferno,1,9INE,Johnny Speeds,9INE,Johnny Speeds
2386079,Nuke,2,9INE,Johnny Speeds,9INE,Johnny Speeds
2386176,Ancient,1,1win,UNiTY,1win,UNiTY
2386176,Inferno,2,1win,UNiTY,UNiTY,UNiTY
2386091,Mirage,1,BESTIA,Bounty Hunters,Bounty Hunters,BESTIA
2386091,Ancient,2,BESTIA,Bounty Hunters,BESTIA,BESTIA
2386095,Nuke,1,9z,Sharks,9z,Sharks
2386095,Train,2,9z,Sharks,Sharks,Sharks
2386093,Mirage,1,MIBR,RED Canids,MIBR,RED Canids
2386093,Ancient,2,MIBR,RED Canids,MIBR,MIBR
2386093,Nuke,3,MIBR,RED Canids,RED Canids,RED Canids
2386090,Overpass,1,Sharks,Gaimin Gladiators,Sharks,Gaimin Gladiators
2386090,Nuke,2,Sharks,Gaimin Gladiators,Gaimin Gladiators,Sharks
2385991,Inferno,1,FAVBET,ARCRED,FAVBET,ARCRED
2385991,Train,2,FAVBET,ARCRED,FAVBET,FAVBET
2386031,Ancient,1,Passion UA,GenOne,GenOne,Passion UA
2386031,Inferno,2,Passion UA,GenOne,Passion UA,GenOne
2386031,Dust2,3,Passion UA,GenOne,Passion UA,GenOne
2386070,Dust2,1,ENCE,FUT,ENCE,ENCE
2386070,Mirage,2,ENCE,FUT,FUT,FUT
2386065,Ancient,1,Monte,fnatic,fnatic,Monte
2386067,Ancient,1,9INE,Liquid,9INE,Liquid
2386062,Nuke,1,9INE,Betclic,9INE,Betclic
2386058,Mirage,1,Monte,BIG,BIG,Monte
2386059,Nuke,1,ENCE,Johnny Speeds,Johnny Speeds,Johnny Speeds
2386029,Mirage,1,GenOne,FlyQuest,GenOne,GenOne
2386029,Overpass,2,GenOne,FlyQuest,FlyQuest,FlyQuest
2386029,Dust2,3,GenOne,FlyQuest,GenOne,GenOne
2386055,Overpass,1,Wildcard,Betclic,Wildcard,Betclic
2386055,Ancient,2,Wildcard,Betclic,Wildcard,Betclic
2386028,Train,1,ECSTATIC,OG,ECSTATIC,OG
2386028,Ancient,2,ECSTATIC,OG,OG,ECSTATIC
2386028,Nuke,3,ECSTATIC,OG,OG,ECSTATIC
2386051,Nuke,1,Tricked,Betclic,Tricked,Betclic
2386051,Train,2,Tricked,Betclic,Betclic,Tricked
2386023,Dust2,1,FlyQuest,SINNERS,FlyQuest,FlyQuest
2386023,Ancient,2,FlyQuest,SINNERS,SINNERS,FlyQuest
2386023,Mirage,3,FlyQuest,SINNERS,SINNERS,SINNERS
2385888,Train,1,FORZE Reload,Sashi,FORZE Reload,FORZE Reload
2385888,Nuke,2,FORZE Reload,Sashi,Sashi,Sashi
2385986,Dust2,1,ARCRED,1win,ARCRED,ARCRED
2385986,Mirage,2,ARCRED,1win,ARCRED,1win
2385788,Ancient,1,Nemiga,Nuclear TigeRES,Nuclear TigeRES,Nemiga
2385788,Train,2,Nemiga,Nuclear TigeRES,Nemiga,Nemiga
2386041,Mirage,1,Betclic,Nemesis,Betclic,Betclic
2386039,Nuke,1,Wildcard,MOUZ NXT,Wildcard,Wildcard
2386022,Inferno,1,SINNERS,OG,SINNERS,OG
2386022,Mirage,2,SINNERS,OG,OG,OG
2385787,Inferno,1,PARIVISION,Nuclear TigeRES,PARIVISION,PARIVISION
2385787,Dust2,2,PARIVISION,Nuclear TigeRES,Nuclear TigeRES,Nuclear TigeRES
2386012,Nuke,1,ECSTATIC,BIG Academy,BIG Academy,BIG Academy
2386012,Overpass,2,ECSTATIC,BIG Academy,BIG Academy,ECSTATIC
2386012,Inferno,3,ECSTATIC,BIG Academy,ECSTATIC,BIG Academy
2385760,Train,1,Sashi,HOTU,Sashi,HOTU
2385760,Overpass,2,Sashi,HOTU,Sashi,Sashi
2385760,Nuke,3,Sashi,HOTU,Sashi,Sashi
2385760,Ancient,4,Sashi,HOTU,HOTU,Sashi
2385609,Inferno,1,9z,BESTIA,BESTIA,BESTIA
2385609,Dust2,2,9z,BESTIA,BESTIA,9z
2385833,Dust2,1,ENCE,FUT,FUT,FUT
2385833,Mirage,2,ENCE,FUT,ENCE,ENCE
2385883,Nuke,1,Alliance,Tricked,Alliance,Tricked
2385883,Train,2,Alliance,Tricked,Alliance,Alliance
2385883,Ancient,3,Alliance,Tricked,Tricked,Alliance
2385831,Dust2,1,ENCE,fnatic,ENCE,ENCE
2385831,Train,2,ENCE,fnatic,fnatic,fnatic
2385831,Overpass,3,ENCE,fnatic,ENCE,ENCE
2385841,Mirage,1,Monte,Sangal,Sangal,Monte
2385841,Nuke,2,Monte,Sangal,Sangal,Sangal
2385818,Ancient,1,Alliance,BC.Game,Alliance,Alliance
2385818,Inferno,2,Alliance,BC.Game,Alliance,BC.Game
2385818,Dust2,3,Alliance,BC.Game,BC.Game,Alliance
2385830,Ancient,1,fnatic,Nemiga,Nemiga,Nemiga
2385830,Mirage,2,fnatic,Nemiga,Nemiga,fnatic
2385881,Train,1,UNiTY,FORZE Reload,FORZE Reload,FORZE Reload
2385881,Ancient,2,UNiTY,FORZE Reload,UNiTY,FORZE Reload
2385881,Overpass,3,UNiTY,FORZE Reload,FORZE Reload,UNiTY
2385855,Nuke,1,Sashi,FORZE Reload,Sashi,Sashi
2385855,Dust2,2,Sashi,FORZE Reload,Sashi,Sashi
2385757,Ancient,1,SINNERS,Sashi,Sashi,SINNERS
2385757,Nuke,2,SINNERS,Sashi,SINNERS,Sashi
2385757,Overpass,3,SINNERS,Sashi,SINNERS,Sashi
2385814,Train,1,Marsborne,Wildcard,Marsborne,Wildcard
